Feature,Importance
change,0.4703247
discharge_disposition_id,0.27817753
prior_utilization,0.254038
med_complexity_score,0.23934945
specialty_risk,0.23017304
diabetesMed,0.20705995
insulin,0.19149335
high_med_burden,0.18516117
emergency_admission,0.13804366
diag_1_Other,0.1327884
gender,0.13207059
meds_x_stay,0.12765379
diag_1_Respiratory,0.12169912
diag_3_Other,0.11154899
diag_2_Other,0.11079732
metformin,0.10914238
num_medications,0.10878551
diag_3_Diabetes,0.102878384
on_insulin,0.09225054
age,0.08651597
admission_source_id,0.08642499
glyburide,0.08410231
admission_type_id,0.082615905
diag_1_Digestive,0.07592251
num_procedures,0.07391348
time_in_hospital,0.07023172
diag_2_Respiratory,0.06753852
glipizide,0.06665367
num_lab_procedures,0.06650063
diag_1_Injury,0.06582275
CHOLSCREEN,0.061794728
diag_1_Musculoskeletal,0.059959073
CHECKUP,0.05864469
rosiglitazone,0.052401964
diag_2_Diabetes,0.051641975
pioglitazone,0.050339293
diag_2_Genitourinary,0.048655894
DEPRESSION,0.04847685
glimepiride,0.047459338
diag_3_Respiratory,0.043395434
diag_1_Genitourinary,0.042762257
diag_1_Diabetes,0.042725418
age_x_diagnoses,0.04214963
diag_3_Genitourinary,0.04188762
DIABETES,0.039822094
race,0.03910014
OBESITY,0.03623303
obesity_x_diabetes,0.03528048
BPHIGH,0.034547422
diag_1_Neoplasms,0.02930497
number_diagnoses,0.025970628
diag_3_Unknown,0.023996046
diag_2_Digestive,0.018376837
diag_2_Musculoskeletal,0.017522616
diag_3_Digestive,0.014479546
diag_3_Musculoskeletal,0.012712927
long_stay,0.012012365
composite_risk,0.011492621
A1c_elevated,0.011258614
total_diabetes_meds,0.010042222
diag_2_Injury,0.009215528
A1c_normal,0.008503897
diag_3_Injury,0.006504492
diag_3_Neoplasms,0.0055461302
high_diagnosis_burden,0.004747981
repaglinide,0.0025910754
diag_2_Neoplasms,0.0023821974
multiple_med_changes,0.0
